% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius in OD/M/cm
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,Water,HbO2,HHb,FatSoybean,diffCCO,ox_redCCO,oxCCO,redCCO
735,0.000213357,464.48,1295.59,1295.59,1800.54,1231.63,3273.8463,2042.2163
736,0.000220217,469.86,1302.45,1302.45,1802.15,1246.275,3281.205,2034.93
737,0.000225632,475.25,1309.27,1309.27,1804.06,1262.7325,3288.7813,2026.0488
738,0.000229964,480.94,1316.09,1316.09,1805.93,1285.86,3296.865,2011.005
739,0.000232852,486.37,1327.38,1327.38,1810.23,1307.6463,3305.5288,1997.8825
740,0.000237184,491.84,1340.75,1340.75,1814.53,1323.3062,3317.4187,1994.1125
741,0.000236462,497.44,1354.17,1354.17,1820.82,1339.1475,3327.5325,1988.385
742,0.000237365,503.04,1369.33,1369.33,1827.03,1355.9674,3337.5012,1981.5338
743,0.000238267,508.73,1388.35,1388.35,1833.24,1378.8413,3347.47,1968.6287
744,0.00023917,514.55,1407.46,1407.46,1839.41,1394.3562,3355.59,1961.2338
745,0.000236823,520.15,1426.44,1426.44,1844.62,1411.6837,3367.6975,1956.0138
746,0.000236643,525.76,1449.72,1449.72,1849.75,1430.9688,3379.515,1948.5462
747,0.000236101,531.58,1473.21,1473.21,1853.83,1453.0812,3390.5712,1937.49
748,0.000235379,537.48,1496.71,1496.71,1858.04,1468.2337,3401.3012,1933.0675
749,0.000236823,543.48,1520.81,1520.81,1863.04,1484.0025,3409.9288,1925.9263
750,0.000233935,549.34,1545.39,1545.39,1868.03,1501.0037,3422.3262,1921.3225
751,0.00023574,555.25,1569.89,1569.89,1876.33,1519.5638,3435.5575,1915.9937
752,0.00023574,561.15,1593.38,1593.38,1884.62,1534.1725,3446.505,1912.3325
753,0.000235921,567.06,1613.79,1613.79,1891.22,1552.8775,3459.41,1906.5325
754,0.000235379,572.96,1634.16,1634.16,1897.82,1571.1113,3467.3488,1896.2375
755,0.000234116,578.96,1654.49,1654.49,1901.43,1588.185,3478.3325,1890.1475
756,0.000232491,585.47,1664.17,1664.17,1905.03,1605.585,3491.745,1886.16
757,0.000233935,591.03,1672.86,1672.86,1908.12,1622.3687,3502.185,1879.8163
758,0.000232671,597.24,1681.59,1681.59,1911.2,1638.79,3512.8788,1874.0888
759,0.000230686,602.93,1681.15,1681.15,1914.33,1654.5225,3524.4425,1869.92
760,0.000230144,609.45,1674.07,1674.07,1917.32,1671.5237,3537.42,1865.8963
761,0.000230505,615.53,1667,1667,1920.1,1689.54,3548.8025,1859.2625
762,0.000227617,621.74,1656.18,1656.18,1923.01,1703.7862,3560.2575,1856.4713
763,0.000225993,628.12,1633.9,1633.9,1928.01,1720.9687,3575.6275,1854.6588
764,0.000225812,634.33,1611.71,1611.71,1933,1735.3963,3585.8863,1850.49
765,0.000224729,640.54,1589.39,1589.39,1938.6,1752.0349,3599.0812,1847.0463
766,0.000225451,646.75,1557.81,1557.81,1944.12,1767.4412,3610.6812,1843.24
767,0.000223646,653.35,1525.5,1525.5,1949.29,1786.1462,3623.55,1837.4038
768,0.00022148,659.43,1493.1,1493.1,1954.41,1798.5437,3634.0625,1835.5188
769,0.000219675,665.64,1458.62,1458.62,1959.71,1814.0225,3644.9375,1830.915
770,0.000219856,671.81,1422.53,1422.53,1965.1,1828.16,3655.45,1827.29
771,0.000218051,678.32,1386.53,1386.53,1970,1841.065,3667.4125,1826.3475
772,0.000216787,684.71,1350.96,1350.96,1974.91,1855.0212,3678.2875,1823.2663
773,0.000213899,690.92,1316.56,1316.56,1980.51,1868.8325,3688.4375,1819.605
774,0.000213538,697.22,1282.17,1282.17,1986.2,1880.4687,3696.4125,1815.9438
775,0.000214982,703.6,1247.77,1247.77,1994.71,1893.7725,3706.5625,1812.79
776,0.000211191,709.94,1217.2,1217.2,2003.18,1908.635,3718.1625,1809.5275
777,0.000208303,716.41,1186.71,1186.71,2015,1922.7362,3729.4,1806.6638
778,0.000207401,722.71,1156.31,1156.31,2026.77,1934.9162,3737.375,1802.4588
779,0.000207581,729.53,1129.51,1129.51,2038.19,1947.785,3746.4375,1798.6525
780,0.000206137,735.83,1104.71,1104.71,2049.48,1961.0163,3755.5,1794.4837
781,0.00020343,741.99,1080.05,1080.05,2060.68,1974.7187,3764.925,1790.2063
782,0.000201805,748.29,1056.81,1056.81,2071.89,1987.5513,3773.9875,1786.4362
783,0.000201625,754.72,1036.92,1036.92,2084.57,2002.4137,3784.1375,1781.7238
784,0.000198375,761.1,1017.03,1017.03,2097.38,2015.065,3791.3875,1776.3225
785,0.000196209,767.92,997.23,997.23,2107.54,2027.4262,3798.275,1770.8488
786,0.000193502,774.09,981.94,981.94,2117.75,2040.7663,3805.525,1764.7587
787,0.000190433,780.6,966.57,966.57,2126.57,2054.505,3814.5875,1760.0825
788,0.000191516,787.2,951.28,951.28,2135.47,2068.135,3822.2,1754.065
789,0.000190072,793.89,938.25,938.25,2142.77,2079.0462,3827.6375,1748.5913
790,0.000187004,800.32,926.18,926.18,2150.06,2092.3863,3835.25,1742.8637
791,0.000184838,806.79,914.06,914.06,2156.66,2104.7837,3842.5,1737.7163
792,0.000184477,813.17,903.16,903.16,2163.26,2118.2325,3850.475,1732.2425
793,0.000182671,819.47,893.69,893.69,2175.73,2130.485,3855.9125,1725.4275
794,0.000181408,826.2,884.18,884.18,2188.15,2141.8675,3862.4375,1720.57
795,0.000177437,832.8,874.97,874.97,2200.96,2153.3588,3867.5125,1714.1537
796,0.000175812,838.97,867.37,867.37,2213.64,2164.0888,3872.225,1708.1362
797,0.00017491,845.57,859.77,859.77,2227.32,2175.725,3878.025,1702.3
798,0.000174007,852.17,852.17,852.17,2241.05,2184.57,3878.3875,1693.8175
799,0.000171661,858.6,845.88,845.88,2251.21,2195.3362,3887.0875,1691.7513
800,0.000172563,865.07,839.66,839.66,2261.33,2205.2325,3891.075,1685.8425
801,0.000171661,871.37,833.58,833.58,2266.02,2217.63,3897.9625,1680.3325
802,0.000168953,877.8,828.29,828.29,2270.71,2225.17,3900.1375,1674.9675
803,0.000169495,884.27,823.51,823.51,2275.62,2233.7612,3903.0375,1669.2763
804,0.000168773,890.69,818.78,818.78,2280.61,2241.0475,3907.75,1666.7025
805,0.000168231,897.08,814.39,814.39,2286.43,2251.8137,3912.825,1661.0113
806,0.000167509,903.55,810.91,810.91,2292.12,2259.39,3915.3625,1655.9725
807,0.000166606,909.98,807.31,807.31,2298.5,2268.1262,3919.35,1651.2238
808,0.00016769,916.19,803.79,803.79,2304.93,2273.165,3920.4375,1647.2725
809,0.000169314,922.48,801.19,801.19,2310.79,2281.8287,3925.5125,1643.6838
810,0.000170036,928.87,798.49,798.49,2316.61,2288.1363,3930.5875,1642.4512
811,0.000171841,935.17,795.89,795.89,2320.61,2294.4075,3933.4875,1639.08
812,0.000172924,941.38,793.89,793.89,2324.69,2298.3225,3935.3,1636.9775
813,0.00017491,947.54,791.98,791.98,2327.51,2304.7387,3937.475,1632.7363
814,0.000174007,953.67,790.2,790.2,2330.29,2308.5088,3937.475,1628.9662
815,0.000177617,960.05,788.59,788.59,2332.9,2314.6712,3940.375,1625.7038
816,0.000179603,966.35,787.2,787.2,2335.51,2318.8038,3942.55,1623.7462
817,0.000182491,972.56,785.9,785.9,2338.2,2323.4437,3943.275,1619.8313
818,0.000184296,978.64,784.68,784.68,2340.89,2327.975,3944,1616.025
819,0.000183935,984.55,783.99,783.99,2343.58,2332.325,3944.3625,1612.0375
820,0.000188989,990.84,783.21,783.21,2346.32,2335.5875,3944.725,1609.1375
821,0.000190614,997.05,782.51,782.51,2347.19,2339.3937,3944.3625,1604.9688
822,0.000191336,1002.96,781.99,781.99,2348.01,2340.1912,3942.55,1602.3588
823,0.000197292,1008.82,781.51,781.51,2346.49,2341.895,3939.2875,1597.3925
824,0.000202708,1015.03,780.99,780.99,2344.89,2343.8162,3940.0125,1596.1963
825,0.000206498,1020.85,780.69,780.69,2342.32,2344.8312,3939.65,1594.8188
826,0.000219856,1027.02,780.6,780.6,2339.72,2346.0638,3938.925,1592.8612
827,0.000227437,1033.06,780.38,780.38,2336.29,2347.0062,3937.1125,1590.1063
828,0.000240614,1039.05,780.3,780.3,2332.9,2347.5137,3935.3,1587.7863
829,0.000249819,1044.65,780.21,780.21,2329.43,2348.2388,3933.85,1585.6112
830,0.000263357,1050.43,780.21,780.21,2325.91,2346.4625,3932.0375,1585.575
831,0.000272563,1056.12,780.21,780.21,2322.69,2346.4262,3929.5,1583.0738
832,0.000286282,1061.85,780.21,780.21,2319.39,2343.78,3927.325,1583.545
833,0.000295668,1067.71,780.21,780.21,2316.83,2344.9037,3924.425,1579.5213
834,0.000298917,1073.62,780.3,780.3,2314.23,2343.055,3922.975,1579.92
835,0.000306679,1079.44,780.3,780.3,2312.53,2341.2425,3921.8875,1580.645
836,0.000314079,1084.82,780.38,780.38,2310.71,2340.0462,3921.525,1581.4788
837,0.000314079,1090.43,780.51,780.51,2310.01,2339.9737,3919.7125,1579.7388
838,0.000317329,1095.94,780.69,780.69,2309.23,2335.3337,3913.1875,1577.8538
839,0.000320036,1101.5,780.99,780.99,2308.41,2329.715,3906.6625,1576.9475
840,0.000324007,1106.93,781.3,781.3,2307.49,2326.9238,3902.3125,1575.3887
841,0.000327256,1112.53,781.51,781.51,2305.63,2323.1175,3899.05,1575.9325
842,0.000325812,1117.92,781.82,781.82,2303.72,2318.84,3894.7,1575.86
843,0.000327437,1123,782.12,782.12,2301.33,2316.9912,3889.2625,1572.2713
844,0.000328881,1128.3,782.51,782.51,2298.89,2312.895,3887.0875,1574.1925
845,0.000331227,1133.6,783.12,783.12,2296.64,2310.3575,3882.7375,1572.38
846,0.000333574,1138.81,783.68,783.68,2294.2,2304.0863,3874.0375,1569.9512
847,0.000335018,1143.89,784.29,784.29,2292.81,2298.25,3868.2375,1569.9875
848,0.000339892,1149.1,784.81,784.81,2291.34,2293.2113,3864.975,1571.7637
849,0.000342599,1154.4,785.42,785.42,2290.6,2289.3687,3860.9875,1571.6188
850,0.000345307,1159.31,785.9,785.9,2289.9,2280.8863,3854.825,1573.9387
851,0.000344404,1164.21,786.9,786.9,2287.3,2276.0288,3845.7625,1569.7337
852,0.000349458,1169.12,787.81,787.81,2284.74,2265.6613,3837.425,1571.7637
853,0.000348556,1173.9,788.81,788.81,2279.92,2258.81,3830.175,1571.365
854,0.000348375,1178.72,789.89,789.89,2275.14,2252.9375,3825.4625,1572.525
855,0.000349097,1183.89,790.98,790.98,2267.93,2249.2037,3817.85,1568.6463
856,0.00035361,1188.19,792.11,792.11,2260.72,2241.0112,3809.875,1568.8638
857,0.000353791,1193.09,793.28,793.28,2252.12,2234.2325,3802.9875,1568.755
858,0.000355415,1197.7,794.72,794.72,2243.61,2226.9825,3796.825,1569.8425
859,0.000355957,1202.3,796.11,796.11,2236.75,2222.2338,3787.7625,1565.5287
860,0.000357581,1206.77,797.49,797.49,2229.75,2214.5487,3777.6125,1563.0638
861,0.000361191,1211.07,799.1,799.1,2225.32,2204.0725,3768.55,1564.4775
862,0.000361372,1215.29,800.71,800.71,2220.85,2198.7075,3760.575,1561.8675
863,0.000362455,1219.67,802.32,802.32,2216.42,2193.0163,3751.5125,1558.4962
864,0.000360289,1224.19,804.18,804.18,2212.12,2189.3912,3743.5375,1554.1463
865,0.000367148,1228.27,806.09,806.09,2206.35,2180.5825,3736.2875,1555.705
866,0.000364801,1232.18,808,808,2200.44,2171.1938,3732.3,1561.1062
867,0.000369134,1236.39,810,810,2193.53,2163.4725,3723.2375,1559.765
868,0.000368953,1240.39,812,812,2186.63,2150.5675,3711.275,1560.7075
869,0.000376354,1244.6,814.09,814.09,2176.73,2139.765,3698.95,1559.185
870,0.000380505,1248.68,816.39,816.39,2166.87,2128.8537,3688.4375,1559.5838
871,0.000381949,1252.59,818.69,818.69,2152.36,2121.7488,3679.0125,1557.2637
872,0.000381047,1256.2,821.08,821.08,2137.86,2116.5287,3671.0375,1554.5088
873,0.000385921,1259.8,823.51,823.51,2125.05,2104.6025,3661.975,1557.3725
874,0.000389892,1263.8,825.9,825.9,2112.28,2096.2287,3654,1557.7713
875,0.000392058,1267.49,828.29,828.29,2102.38,2086.4412,3643.4875,1557.0463
876,0.000392419,1270.66,830.81,830.81,2092.47,2075.0225,3633.3375,1558.315
877,0.000400181,1274.26,833.37,833.37,2084.05,2064.2924,3621.8462,1557.5538
878,0.00040361,1277.78,835.89,835.89,2075.75,2051.75,3611.7325,1559.9825
879,0.000411191,1281.08,838.49,838.49,2067.89,2040.5487,3599.48,1558.9313
880,0.000411913,1284.25,840.97,840.97,2060.08,2028.0787,3588.8225,1560.7438
881,0.000413357,1287.47,843.57,843.57,2052.48,2015.8262,3577.005,1561.1788
882,0.00042509,1290.38,846.09,846.09,2044.88,2007.67,3571.7125,1564.0425
883,0.000427076,1293.46,848.7,848.7,2035.36,1997.0124,3560.8737,1563.8613
884,0.00043556,1296.76,851.39,851.39,2025.98,1984.5787,3548.8387,1564.26
885,0.000437004,1299.67,854,854,2015.91,1975.7337,3538.5075,1562.7738
886,0.000439892,1302.36,856.6,856.6,2005.79,1964.7862,3526.0375,1561.2513
887,0.000440433,1305.49,859.16,859.16,1995.41,1950.5038,3512.8788,1562.375
888,0.000441697,1308.05,861.77,861.77,1984.99,1939.5925,3501.6775,1562.085
889,0.000451986,1310.48,864.29,864.29,1972,1927.7751,3489.4613,1561.6862
890,0.00046787,1313.35,866.76,866.76,1958.89,1912.1875,3477.1725,1564.985
891,0.000465523,1316.17,869.2,869.2,1946.2,1900.5513,3466.08,1565.5287
892,0.00046444,1318.56,871.59,871.59,1933.52,1888.77,3456.1475,1567.3775
893,0.00047148,1320.65,873.97,873.97,1919.8,1874.7412,3441.575,1566.8338
894,0.000469675,1323.16,876.28,876.28,1906.12,1864.1926,3433.3463,1569.1537
895,0.000477076,1325.86,878.49,878.49,1891.14,1856.6525,3423.595,1566.9425
896,0.000474729,1327.94,880.49,880.49,1876.11,1842.225,3409.6025,1567.3775
897,0.000481408,1330.07,882.49,882.49,1861.43,1829.3925,3398.7638,1569.3713
898,0.000494585,1331.98,884.35,884.35,1846.75,1817.285,3386.4025,1569.1175
899,0.000501986,1333.76,886.09,886.09,1833.85,1804.4163,3373.0988,1568.6825
900,0.000515884,1336.15,887.78,887.78,1820.82,1788.1037,3358.49,1570.3863
901,0.00051787,1338.15,889.48,889.48,1810.83,1776.105,3345.73,1569.625
902,0.00052509,1339.97,890.78,890.78,1800.76,1764.3237,3335.9425,1571.6188
903,0.000530325,1341.67,892.08,892.08,1792.85,1752.5425,3321.4425,1568.9
